player,player_id,position,team_name,player_game_count,attempts,avoided_tackles,breakaway_attempts,breakaway_percent,breakaway_yards,declined_penalties,designed_yards,drops,elu_recv_mtf,elu_rush_mtf,elu_yco,elusive_rating,explosive,first_downs,franchise_id,fumbles,gap_attempts,grades_hands_fumble,grades_offense,grades_offense_penalty,grades_pass,grades_pass_block,grades_pass_route,grades_run,grades_run_block,longest,penalties,rec_yards,receptions,routes,run_plays,scramble_yards,scrambles,targets,total_touches,touchdowns,yards,yards_after_contact,yco_attempt,ypa,yprr,zone_attempts
J.T. Barrett IV,46387,QB,OHIO STATE,12,109,39,14,35.3,388,0,778,0,0,27,375,85.2,36,0,260,4,39,85.7,81.3,80.9,68.1,,59.3,84.8,60.8,86,2,0,0,1,396,322,41,0,109,11,1100,539,3.59,7.3,0.0,0
Joey Iosefa,9664,HB,HAWAII,6,149,22,5,22.5,135,0,596,0,2,22,344,34.6,12,0,180,2,67,70.6,65.3,87.4,71.2,82.7,70.0,60.8,63.3,45,1,73,11,68,173,5,1,12,160,8,601,345,2.3,4.0,1.07,0
Wendell Smallwood,10787,HB,W VIRGINIA,13,148,17,7,21.2,152,0,718,2,9,17,358,35.1,20,0,343,4,22,60.6,62.4,58.7,,84.7,59.0,61.5,76.7,35,1,326,31,266,231,0,0,42,179,2,718,358,2.42,4.9,1.23,0
Corey Clement,12253,HB,WISCONSIN,14,147,20,14,45.7,435,1,951,0,5,20,399,42.1,26,1,349,0,36,90.1,78.6,86.5,,78.1,79.6,74.9,69.8,72,1,119,14,71,193,0,0,16,161,9,951,399,2.71,6.5,1.68,0
Aaron Wimberly,14445,HB,IOWA STATE,11,147,17,10,30.4,195,0,642,4,2,17,354,26.3,19,0,193,1,44,80.7,64.0,86.4,,78.6,60.1,63.6,49.4,30,0,209,27,215,206,0,0,38,174,7,642,354,2.41,4.4,0.97,0
L.A. Ramsby,28400,HB,GA SOUTHRN,12,147,19,6,20.6,142,0,689,0,4,19,332,34.0,17,0,174,2,39,69.2,63.2,84.0,,89.0,84.3,59.7,61.6,46,0,100,6,38,244,0,0,6,153,12,689,332,2.26,4.7,2.63,0
Akeel Lynch,45978,HB,PENN STATE,13,147,18,10,41.9,283,0,675,0,0,18,424,33.1,13,1,266,1,80,80.3,57.8,47.6,,41.8,54.2,60.6,56.9,47,1,57,10,123,173,0,0,14,157,4,675,424,2.88,4.6,0.46,0
Johnathan Gray,19507,HB,TEXAS,13,146,17,10,41.5,265,0,638,3,2,17,360,28.4,15,0,311,2,38,69.7,61.6,49.7,,55.9,51.5,63.7,62.3,42,1,116,19,186,190,0,0,30,165,7,638,360,2.47,4.4,0.62,0
Tyler Jones,46534,QB,TEXAS ST,12,129,12,8,25.6,174,0,597,0,0,11,160,10.6,20,2,314,10,40,44.4,64.4,67.0,66.8,,60.0,55.4,60.0,43,4,0,0,0,480,82,17,0,129,6,679,190,1.3,4.7,,0
Reggie Pegram,14942,HB,N TEXAS,12,145,15,5,24.0,127,0,529,1,1,15,275,19.8,13,0,251,0,83,90.2,63.9,85.7,,60.9,49.4,65.3,58.4,54,0,3,8,109,185,0,0,14,153,5,529,275,1.9,3.6,0.03,0
Nick Marshall,9829,QB,AUBURN,13,131,46,17,45.5,397,0,769,0,1,42,427,105.4,29,0,115,5,38,68.8,90.4,73.5,86.1,,76.9,77.7,60.3,49,3,16,2,4,531,104,14,2,133,11,873,508,3.5,6.0,4.0,0
Josh Ferguson,10907,HB,ILLINOIS,13,143,25,12,48.2,355,0,720,5,10,24,348,42.9,22,1,187,5,23,46.8,72.9,86.6,52.9,43.7,81.7,71.7,62.4,75,0,427,50,203,181,16,1,60,193,8,736,373,2.59,5.1,2.1,0
Rod Moore,16047,HB,CINCINNATI,13,143,21,7,29.5,184,0,624,1,0,21,373,36.0,12,0,138,1,26,79.6,67.0,85.6,,70.1,52.9,68.2,70.7,61,0,137,9,174,166,0,0,15,152,5,624,373,2.61,4.4,0.79,0
Brandon Radcliff,12129,HB,LOUISVILLE,11,143,39,11,31.5,232,0,736,2,4,39,363,73.3,22,0,210,2,61,68.1,73.1,6.0,,66.4,49.8,75.4,59.0,41,2,84,6,101,172,0,0,12,149,12,736,363,2.54,5.1,0.83,0
Brian Hill,11911,HB,WYOMING,12,143,19,11,50.9,404,1,794,1,3,19,350,34.5,18,2,351,2,116,69.2,63.8,8.6,59.4,53.8,59.5,65.7,57.6,89,3,205,13,86,162,0,0,16,156,7,794,350,2.45,5.6,2.38,0
Grant Hedrick,12753,QB,BOISE ST,14,83,8,6,16.6,126,0,326,0,0,5,84,5.9,31,0,120,5,18,69.0,90.7,83.8,91.1,,92.5,62.6,60.2,35,3,40,3,7,478,435,59,3,86,8,761,159,1.12,5.4,5.71,0
Chase Price,11479,HB,S DIEGO ST,13,141,16,9,29.0,193,0,666,2,0,16,362,26.0,16,1,284,3,60,58.9,66.1,87.1,,78.2,63.9,64.9,58.6,29,0,126,17,131,159,0,0,22,158,5,666,362,2.57,4.7,0.96,0
Fred Coppet,45748,HB,BOWL GREEN,13,141,26,13,47.9,366,0,764,1,1,26,443,56.9,18,0,122,1,53,79.5,68.9,84.7,,78.1,46.8,71.1,56.7,69,0,27,8,102,158,0,0,11,149,6,764,443,3.14,5.4,0.26,0
James Butler,45966,HB,NEVADA,13,140,24,4,26.4,169,0,639,0,2,24,349,44.7,11,1,239,0,35,90.0,66.9,86.3,,65.4,53.9,67.9,56.6,59,0,20,5,105,208,0,0,6,145,6,639,349,2.49,4.6,0.19,0
Elijhaa Penny,11300,HB,IDAHO,11,139,11,4,14.2,84,0,592,1,2,11,327,20.3,14,0,185,0,33,90.0,60.6,85.6,,77.3,63.1,57.5,75.2,27,1,109,12,124,152,0,0,15,151,12,592,327,2.35,4.3,0.88,0
Alex Gardner,28346,HB,FIU,8,138,19,7,31.2,181,0,580,2,3,19,298,32.5,15,1,166,2,28,67.9,62.4,85.5,,61.8,49.3,64.0,52.3,62,0,48,8,99,168,0,0,15,146,1,580,298,2.16,4.2,0.48,0
Lavon Coleman,45861,HB,WASHINGTON,11,137,17,4,17.9,103,0,574,1,2,17,288,27.4,16,1,340,1,39,78.9,59.2,83.8,,73.3,54.7,59.3,57.0,54,0,35,9,84,168,0,0,10,146,1,574,288,2.1,4.2,0.42,0
Kendall Houston,15950,HB,S ALABAMA,13,137,30,8,29.0,205,0,708,1,0,30,448,69.1,16,1,288,1,22,78.7,67.9,83.1,,74.9,46.7,68.4,64.4,44,0,18,5,83,158,0,0,6,142,2,708,448,3.27,5.2,0.22,0
Ito Smith,45932,HB,SO MISS,11,136,30,9,38.7,207,0,535,2,3,30,353,59.5,14,1,296,3,44,56.5,70.0,85.0,,51.3,41.9,74.3,55.7,38,0,71,8,103,153,0,0,13,144,2,535,353,2.6,3.9,0.69,0
Josh Quezada,37758,HB,FRESNO ST,13,135,5,9,32.4,170,0,525,3,3,5,304,10.7,14,2,169,0,39,89.7,65.3,53.3,,64.7,54.4,69.0,72.1,27,1,216,33,277,178,0,0,40,168,5,525,304,2.25,3.9,0.78,0
Darik Dillard,45983,HB,RICE,13,134,8,8,28.0,183,0,654,1,1,8,309,13.7,16,0,275,0,31,89.7,62.8,84.7,,42.7,65.8,62.4,66.3,36,0,163,17,129,188,0,0,19,151,11,654,309,2.31,4.9,1.26,0
Remound Wright,37798,HB,STANFORD,12,134,11,7,29.5,176,0,597,0,0,11,267,15.4,13,2,300,1,91,78.4,68.0,50.2,,87.5,58.0,66.3,65.8,35,2,67,8,158,166,0,0,9,142,11,597,267,1.99,4.5,0.42,0
Ray Lawry,45939,HB,DOMINION,12,134,26,20,59.5,563,0,947,1,6,26,395,62.5,27,0,263,1,13,78.9,77.5,84.6,,62.4,57.3,82.6,43.2,68,0,155,17,185,152,0,0,19,151,16,947,395,2.95,7.1,0.84,0
Trevone Boykin,11279,QB,TCU,13,89,37,7,19.1,154,0,421,0,0,20,172,42.5,32,1,305,7,1,71.2,79.6,60.4,75.9,,76.2,71.5,60.2,34,5,53,2,3,382,386,45,3,91,8,807,275,2.05,6.0,17.67,0
C.J. Brown,14571,QB,MARYLAND,13,108,27,8,30.1,231,0,568,0,0,20,317,53.9,25,1,215,9,27,62.9,57.3,70.8,51.4,,,68.0,60.0,75,3,-11,1,0,317,199,26,1,109,8,767,424,3.16,5.7,,0
Terron Ward,9778,HB,OREGON ST,10,134,15,8,35.1,246,0,700,5,10,15,399,45.7,21,1,265,0,36,89.8,72.1,88.1,,66.1,56.9,75.3,54.7,66,0,230,29,159,162,0,0,44,163,10,700,399,2.98,5.2,1.45,0
Charles Jones,45700,HB,KANSAS ST,13,133,18,3,9.5,50,1,529,0,1,18,288,29.2,17,0,199,1,45,78.5,68.0,87.0,,76.2,64.1,65.1,67.8,18,1,75,8,87,175,0,0,11,141,13,529,288,2.17,4.0,0.86,0
