player,player_id,position,team_name,player_game_count,avg_depth_of_target,avoided_tackles,caught_percent,contested_catch_rate,contested_receptions,contested_targets,declined_penalties,drop_rate,drops,first_downs,franchise_id,fumbles,grades_hands_drop,grades_hands_fumble,grades_offense,grades_pass_block,grades_pass_route,inline_rate,inline_snaps,interceptions,longest,pass_block_rate,pass_blocks,pass_plays,penalties,receptions,route_rate,routes,slot_rate,slot_snaps,targeted_qb_rating,targets,touchdowns,wide_rate,wide_snaps,yards,yards_after_catch,yards_after_catch_per_reception,yards_per_reception,yprr
Michael Roberts,11882,TE,DET,14,9.8,0,80.0,100.0,1,1,0,20.0,1,2,11,0,41.6,67.0,71.2,74.6,56.3,96.9,62,0,23,40.6,26,64,0,4,57.8,37,1.6,1,105.0,5,0,0.0,0,46,13,3.3,11.5,1.24
Tanner Gentry,12170,WR,CHI,4,10.8,0,60.0,75.0,3,4,0,25.0,1,2,6,0,36.8,65.8,53.0,,50.0,0.0,0,0,15,0.0,0,86,1,3,93.0,80,10.5,9,81.3,5,0,89.5,77,35,0,0.0,11.7,0.44
JoJo Natson,12739,WR,NYJ,5,12.0,0,40.0,0.0,0,2,0,33.3,1,1,22,0,29.9,85.5,52.2,,55.4,0.0,0,1,19,0.0,0,13,0,2,92.3,12,84.6,11,10.8,5,0,15.4,2,18,3,1.5,9.0,1.5
Jeremy Hill,8690,HB,CIN,7,-3.3,1,100.0,,0,0,0,0.0,0,1,7,0,72.1,35.3,57.6,81.4,68.1,0.0,0,0,10,18.4,7,38,0,4,81.6,31,0.0,0,83.3,4,0,0.0,0,16,29,7.3,4.0,0.52
Zach Line,8420,FB,NO,12,5.5,0,50.0,,0,0,0,33.3,1,1,20,0,29.9,72.3,70.4,81.5,39.4,15.5,9,0,5,32.8,19,58,0,2,63.8,37,0.0,0,95.8,4,1,13.8,8,8,3,1.5,4.0,0.22
Corey Grant,9827,HB,JAX,7,0.0,0,75.0,,0,0,0,0.0,0,2,15,0,70.5,48.0,91.3,,73.8,0.0,0,0,28,9.1,1,11,0,3,90.9,10,9.1,1,107.3,4,0,18.2,2,41,37,12.3,13.7,4.1
Jay Prosch,8845,FB,HST,13,0.8,1,100.0,100.0,1,1,0,0.0,0,1,13,0,72.1,67.0,60.0,79.0,60.8,0.0,0,0,18,25.0,15,60,0,4,70.0,42,1.7,1,99.0,4,0,11.7,7,31,28,7.0,7.8,0.74
Randall Telfer,9631,TE,CLV,16,11.8,0,75.0,100.0,1,1,0,0.0,0,2,8,0,70.5,65.8,47.5,60.7,52.4,94.2,130,0,20,53.6,74,138,1,3,43.5,60,3.6,5,102.1,4,0,1.4,2,36,0,0.0,12.0,0.6
Danny Vitale,10831,FB,CLV,15,-0.8,1,75.0,,0,0,0,0.0,0,1,8,0,70.5,67.9,57.5,86.5,60.5,0.0,0,0,11,34.8,16,46,0,3,63.0,29,2.2,1,84.4,4,0,6.5,3,19,25,8.3,6.3,0.66
Blake Bell,9550,TE,MIN,13,3.0,0,75.0,0.0,0,1,0,0.0,0,1,18,0,72.1,67.0,55.7,64.8,54.9,56.5,39,0,12,20.3,14,69,0,3,78.3,54,30.4,21,84.4,4,0,7.2,5,19,8,2.7,6.3,0.35
Nick Williams,8005,WR,ATL,1,10.3,0,75.0,100.0,1,1,0,25.0,1,3,2,0,36.8,65.8,65.3,,64.6,0.0,0,1,14,0.0,0,23,0,3,91.3,21,95.7,22,56.3,4,0,4.3,1,30,5,1.7,10.0,1.43
