player,player_id,position,team_name,player_game_count,avg_depth_of_target,avoided_tackles,caught_percent,contested_catch_rate,contested_receptions,contested_targets,declined_penalties,drop_rate,drops,first_downs,franchise_id,fumbles,grades_hands_drop,grades_hands_fumble,grades_offense,grades_pass_block,grades_pass_route,inline_rate,inline_snaps,interceptions,longest,pass_block_rate,pass_blocks,pass_plays,penalties,receptions,route_rate,routes,slot_rate,slot_snaps,targeted_qb_rating,targets,touchdowns,wide_rate,wide_snaps,yards,yards_after_catch,yards_after_catch_per_reception,yards_per_reception,yprr
Jerjuan Newton,97308,WR,TOLEDO,6,9.2,11,71.4,25.0,1,4,0,6.3,1,11,316,0,69.9,69.2,78.5,,77.5,0.0,0,1,28,0.0,0,93,0,15,93.5,87,2.2,2,113.8,21,2,97.8,91,203,94,6.3,13.5,2.33
Lopini Katoa,83641,HB,BYU,10,0.7,5,85.7,,0,0,0,5.3,1,9,128,0,74.4,70.3,80.2,71.8,74.8,0.0,0,0,42,29.4,52,177,1,18,66.7,118,4.0,7,147.1,21,3,3.4,6,206,207,11.5,11.4,1.75
Dameon Pierce,83659,HB,FLORIDA,10,2.2,12,71.4,0.0,0,3,0,16.7,3,5,163,1,45.8,72.6,74.3,40.2,47.0,0.0,0,0,35,8.5,14,164,0,15,87.2,143,8.5,14,104.5,21,1,18.3,30,136,141,9.4,9.1,0.95
Shaun Beyer,40860,TE,IOWA,8,9.5,1,52.4,100.0,2,2,0,0.0,0,8,192,0,81.5,68.2,89.8,64.2,80.5,81.0,94,1,28,17.2,20,116,0,11,80.2,93,17.2,20,73.1,21,1,1.7,2,158,58,5.3,14.4,1.7
Ahmarean Brown,97164,WR,GA TECH,7,16.4,0,52.4,33.3,1,3,0,15.4,2,7,176,0,53.7,71.1,60.3,,59.7,0.6,1,1,40,0.0,0,177,2,11,90.4,160,97.7,173,78.1,21,1,1.1,2,183,34,3.1,16.6,1.14
Peje' Harris,77994,WR,GA TECH,9,11.4,0,52.4,25.0,1,4,0,15.4,2,8,176,0,49.8,68.3,60.9,,61.9,0.0,0,2,31,0.0,0,126,0,11,95.2,120,96.8,122,49.4,21,1,3.2,4,138,38,3.5,12.5,1.15
Noah Frith,84253,WR,LIBERTY,5,14.4,2,71.4,85.7,6,7,1,6.3,1,11,206,0,57.3,69.2,68.9,,69.1,0.0,0,0,28,0.0,0,138,1,15,89.9,124,5.1,7,133.2,21,2,94.9,131,201,24,1.6,13.4,1.62
Sam Denmark,42209,WR,COAST CAR,11,12.8,6,71.4,25.0,1,4,0,11.8,2,11,141,0,47.2,69.5,65.4,,64.4,0.0,0,1,72,0.0,0,167,0,15,97.6,163,1.8,3,109.7,21,1,98.2,164,267,90,6.0,17.8,1.64
Landen Akers,42212,WR,IOWA STATE,10,9.6,2,76.2,0.0,0,2,1,5.9,1,12,193,0,70.9,69.5,71.3,,70.9,1.0,1,0,49,0.0,0,103,1,16,93.2,96,82.5,85,126.7,21,1,14.6,15,228,180,11.3,14.3,2.38
Kobe Smith,84397,WR,S DIEGO ST,7,14.1,0,61.9,62.5,5,8,0,7.1,1,8,284,0,67.5,68.7,64.7,,63.2,0.0,0,1,23,0.0,0,120,0,13,96.7,116,5.8,7,89.8,21,2,94.2,113,122,25,1.9,9.4,1.05
Willie Wright,61250,WR,FAU,8,8.4,2,71.4,0.0,0,1,0,16.7,3,7,165,0,45.4,28.7,58.4,,57.6,0.0,0,0,19,0.0,0,115,1,15,94.8,109,77.4,89,84.8,21,0,21.7,25,117,66,4.4,7.8,1.07
Jordan Merrell,61253,WR,FAU,8,8.1,1,71.4,50.0,1,2,0,6.3,1,7,165,0,69.9,71.1,61.1,,62.1,1.4,2,0,36,0.0,0,140,2,15,95.0,133,90.7,127,99.7,21,0,7.9,11,192,79,5.3,12.8,1.44
Devin Maddox,64506,WR,TOLEDO,6,7.4,6,66.7,33.3,1,3,1,0.0,0,7,316,0,84.2,70.1,66.5,,68.7,0.0,0,2,40,0.0,0,133,2,14,94.7,126,94.7,126,92.2,21,3,5.3,7,174,116,8.3,12.4,1.38
Isaiah Neyor,98033,WR,WYOMING,6,22.4,0,38.1,33.3,2,6,0,11.1,1,8,351,0,59.3,68.2,63.7,,64.1,0.0,0,2,54,0.0,0,112,2,8,96.4,108,20.5,23,43.5,21,0,79.5,89,248,56,7.0,31.0,2.3
Tyleek Collins,84467,WR,UNLV,5,9.7,1,61.9,33.3,1,3,0,7.1,1,7,325,0,67.8,77.6,57.3,,61.1,0.0,0,1,43,0.0,0,145,1,13,95.9,139,93.1,135,95.9,21,2,6.2,9,153,39,3.0,11.8,1.1
Mike Sainristil,97180,WR,MICHIGAN,6,15.4,1,33.3,0.0,0,3,1,30.0,3,5,222,0,25.5,69.8,53.8,,54.4,0.0,0,1,23,0.0,0,119,1,7,97.5,116,8.4,10,58.6,21,2,91.6,109,85,13,1.9,12.1,0.73
Dallas Dixon,130432,WR,C MICHIGAN,4,16.3,1,61.9,50.0,1,2,0,7.1,1,9,134,1,67.8,22.1,68.5,,66.8,4.5,5,2,58,0.0,0,111,0,13,95.5,106,36.0,40,82.0,21,1,59.5,66,263,140,10.8,20.2,2.48
Leonard Taylor,62290,TE,CINCINNATI,8,8.4,0,66.7,0.0,0,2,0,12.5,2,9,138,0,57.1,69.2,58.2,75.0,63.3,56.9,78,1,25,19.0,26,137,3,14,75.2,103,37.2,51,88.8,21,1,3.6,5,177,86,6.1,12.6,1.72
