Player,School,College,Ht,Wt,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle
Josh LeRibeus,SMU,,6-3,312.0,5.31,26.0,29.0,96.0,7.64,4.65
Joe Looney,Wake Forest,College Stats,6-3,309.0,5.02,,26.0,,,
Antoine McClain,Clemson,,6-5,329.0,5.48,27.0,19.0,91.0,8.13,4.82
Ryan Miller,Colorado,College Stats,6-7,321.0,5.16,28.0,32.0,100.0,7.72,4.78
Lucas Nix,Pittsburgh,College Stats,6-5,317.0,5.36,29.5,,102.0,7.81,4.9
Amini Silatolu,Midwestern State,,6-4,311.0,5.33,31.5,28.0,107.0,7.95,4.87
Andrew Tiller,Syracuse,College Stats,6-4,324.0,5.44,23.0,16.0,85.0,7.92,4.8
Johnnie Troutman,Penn State,College Stats,6-4,325.0,5.52,27.5,31.0,,7.96,5.0
Brandon Washington,Miami (FL),College Stats,6-3,320.0,5.14,25.0,28.0,101.0,8.22,4.87
Rokevious Watkins,South Carolina,,6-4,338.0,5.29,27.0,,102.0,7.87,4.9
Desmond Wynn,Rutgers,College Stats,6-5,303.0,4.98,32.5,28.0,,,
Kevin Zeitler,Wisconsin,College Stats,6-4,314.0,5.32,29.0,32.0,101.0,7.77,4.61
Zach Allen,North Carolina State,,6-2,332.0,5.43,,32.0,,,
Jeff Baca,UCLA,,6-3,302.0,5.03,26.5,,100.0,7.26,4.44
Alvin Bailey,Arkansas,College Stats,6-3,312.0,4.95,,27.0,,,
Chris Barker,Nevada,,6-3,305.0,5.25,27.5,29.0,99.0,8.09,4.77
Travis Bond,North Carolina,College Stats,6-6,329.0,5.27,22.5,22.0,98.0,7.85,4.96
Jonathan Cooper,North Carolina,College Stats,6-2,311.0,5.07,27.0,35.0,108.0,7.78,4.84
Manese Foketi,Texas A&M,,6-5,318.0,5.54,23.5,25.0,102.0,8.11,5.06
Eric Herman,Ohio,College Stats,6-4,320.0,5.25,28.0,36.0,95.0,7.99,5.09
Mark Jackson,Glenville State,,6-5,328.0,5.65,20.5,20.0,91.0,8.07,5.03
Jamaal Johnson-Webb,Alabama A&M,,6-5,313.0,5.37,23.0,17.0,92.0,8.12,4.74
Edmund Kugbila,Valdosta State,,6-4,317.0,5.13,22.5,23.0,105.0,7.72,4.65
Kyle Long,Oregon,,6-6,313.0,4.91,28.0,,107.0,7.83,4.63
Lamar Mady,Youngstown State,,6-2,317.0,5.48,23.0,35.0,95.0,8.07,4.82
Stephane Milhim,Massachusetts,College Stats,6-4,314.0,5.14,28.5,,104.0,,4.87
Hugh Thornton,Illinois,College Stats,6-3,320.0,5.11,,27.0,,7.45,4.63
J.C. Tretter,Cornell,,6-4,307.0,5.09,29.5,29.0,109.0,7.48,4.69
Larry Warford,Kentucky,,6-3,332.0,5.58,22.5,28.0,96.0,7.78,5.1
Chance Warmack,Alabama,College Stats,6-2,317.0,5.49,,,110.0,,
Earl Watford,James Madison,,6-3,300.0,5.06,30.0,24.0,107.0,7.77,5.0
Brian Winters,Kent State,,6-4,320.0,5.22,,9.0,,,
