player,player_id,player_game_count,block_percent,declined_penalties,franchise_id,grades_offense,grades_pass_block,grades_run_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_block,snap_counts_ce,snap_counts_lg,snap_counts_lt,snap_counts_offense,snap_counts_pass_block,snap_counts_pass_play,snap_counts_rg,snap_counts_rt,snap_counts_run_block,snap_counts_te
Derek Hardman,5947,7,100.0,0,30,58.5,56.8,59.6,0,8,146,100.0,100.0,96.6,1,9,1,255,0,0,0,255,154,154,253,0,101,2
Ryan Wendell,4602,14,100.0,0,19,70.9,67.2,72.3,1,2,95,100.0,100.0,98.4,0,3,0,229,26,45,0,229,98,98,158,0,131,0
Chad Rinehart,4410,4,100.0,0,4,78.8,89.4,69.7,0,0,113,100.0,100.0,100.0,1,0,0,202,0,0,0,202,116,116,202,0,86,0
Montrae Holland,1415,7,100.0,0,9,75.5,64.8,76.2,1,4,102,100.0,100.0,97.5,0,5,0,170,0,141,0,170,107,107,27,0,63,0
Kraig Urbik,5002,6,100.0,0,4,75.9,88.2,66.9,0,1,103,100.0,100.0,99.5,0,1,0,159,29,0,0,159,106,106,130,0,53,0
Jon Asamoah,5593,8,97.5,0,16,74.8,67.4,74.7,1,1,73,96.1,95.1,98.6,0,2,0,154,0,65,0,158,78,82,74,0,76,14
John Greco,4379,5,100.0,0,26,91.1,74.9,92.0,0,0,76,100.0,100.0,98.7,1,1,1,146,0,15,0,146,80,80,131,0,66,0
Billy Yates,1721,8,100.0,0,8,68.0,86.1,61.0,0,0,50,100.0,100.0,100.0,0,0,0,136,0,6,0,136,53,53,130,0,83,0
Shawn Lauvao,5616,5,100.0,0,8,48.2,61.7,41.1,0,4,68,100.0,100.0,97.1,0,4,0,113,0,5,0,113,71,71,108,0,42,0
Reggie Wells,1482,2,100.0,0,24,41.3,52.0,45.0,1,2,69,100.0,100.0,96.4,1,4,1,110,0,71,0,110,73,73,39,0,37,0
Evan Mathis,2296,5,100.0,0,7,92.8,77.5,91.4,0,1,55,100.0,100.0,99.1,0,1,0,110,0,108,0,110,55,55,0,0,55,2
Phil Costa,5925,2,100.0,0,9,53.1,62.9,44.0,1,1,80,98.8,98.8,97.5,1,3,1,107,0,107,0,107,85,86,0,0,22,0
Derrick Dockery,1396,3,100.0,0,32,70.3,73.4,66.0,0,2,50,100.0,100.0,98.0,2,2,0,83,0,83,0,83,51,51,0,0,32,0
Vladimir Ducasse,5586,2,100.0,0,22,71.5,82.0,66.8,0,0,18,100.0,100.0,100.0,0,0,0,68,0,0,0,68,19,19,57,11,49,0
Quinn Ojinnaka,3084,3,100.0,0,19,63.6,83.6,56.4,0,1,18,100.0,100.0,97.2,0,1,0,60,0,18,18,60,18,18,0,20,42,4
Mitch Petrus,5670,5,100.0,0,21,55.5,81.3,58.0,0,0,16,100.0,100.0,100.0,1,0,0,51,0,47,0,51,17,17,4,0,34,0
Max Unger,4972,1,100.0,1,29,57.1,82.9,47.8,0,0,26,100.0,100.0,100.0,1,0,0,51,0,0,0,51,29,29,51,0,22,0
Rich Ohrnberger,5047,2,100.0,0,19,52.0,80.6,55.4,0,0,12,100.0,100.0,100.0,1,0,0,48,0,20,0,48,13,13,28,0,35,0
Dylan Gandy,2346,4,100.0,0,11,56.8,82.3,45.0,0,0,24,100.0,100.0,100.0,0,0,0,31,0,0,0,31,25,25,31,0,6,0
Ray Feinga,5257,3,83.3,0,17,61.6,81.8,70.6,0,0,20,76.9,78.6,100.0,1,0,0,30,0,1,0,36,22,28,12,12,8,11
Bruce Campbell,5630,1,100.0,0,23,57.9,,57.7,0,0,0,,,,0,0,0,10,0,0,0,10,0,0,10,0,10,0
Kasey Studdard,3799,1,100.0,0,13,56.1,,56.4,0,0,0,,,,0,0,0,10,0,0,0,10,0,0,10,0,10,0
Ryan Durand,5163,1,100.0,0,31,55.0,67.4,55.1,0,0,1,100.0,100.0,100.0,0,0,0,7,0,7,0,7,1,1,0,0,6,0
Brandon Carter,6005,1,100.0,0,30,59.7,73.1,58.5,0,0,2,100.0,100.0,100.0,0,0,0,6,0,6,0,6,2,2,0,0,4,0
Rex Hadnot,1892,3,85.7,0,1,55.7,69.4,56.3,0,0,1,50.0,50.0,100.0,0,0,0,6,1,0,0,7,1,2,0,0,5,5
Jacques McClendon,5652,2,100.0,0,14,59.7,71.4,57.1,0,0,3,100.0,100.0,100.0,0,0,0,6,0,0,0,6,3,3,0,0,3,6
Kevin Haslam,5992,2,75.0,0,15,49.2,8.4,59.7,0,0,0,0.0,0.0,,0,0,0,3,0,0,0,4,0,1,0,2,3,2
C.J. Davis,5334,1,100.0,0,5,60.0,69.1,60.0,0,0,1,100.0,100.0,100.0,0,0,0,2,0,0,0,2,1,1,0,2,1,0
Chris Clark,4623,1,100.0,0,10,60.0,67.3,60.0,0,0,1,100.0,100.0,100.0,0,0,0,2,0,0,0,2,1,1,0,0,1,2
David Diehl,1468,20,99.9,1,21,51.6,39.6,59.4,11,61,798,99.8,99.8,93.9,5,85,13,1369,0,668,701,1371,838,840,0,0,531,2
