Year,Name,College,POS,Height (in),Weight (lbs),Hand Size (in),Arm Length (in),Wonderlic,40 Yard,Bench Press,Vert Leap (in),Broad Jump (in),Shuttle,3Cone,60Yd Shuttle ▾
2019,Deebo Samuel,South Carolina,WR,71.25,214,10,31.375,,4.48,15,39,122,4.14,7.03,
2019,David Sills,West Virginia,WR,75.25,211,9,32,,4.57,14,37.5,117,4.28,6.97,
2019,Raelon Singleton,Houston,WR,74.88,208,10,32.125,,4.54,,37.5,131,4.5,7.01,
2019,Darius Slayton,Auburn,WR,73,190,10,32.75,,4.39,11,40.5,135,4.15,7,
2019,Jaylen Smith,Louisville,WR,74.25,213,9.25,32.75,,4.47,14,34.5,122,4.48,7.55,
2019,Jeff Smith,Boston College,WR,72,191,9,31.5,,4.36,15,36.5,127,4.06,6.87,
2019,TJ Smith,Lenoir-Rhyne,WR,69.5,174,8.75,31,,4.57,16,35.5,123,4.39,7,
2019,Dredrick Snelson,Central Florida,WR,71.38,189,8.75,30.625,,4.55,10,30.5,116,4.39,7.27,
2019,Jayson Stanley,Georgia,WR,73.63,209,8.5,33,,4.46,12,35,126,4.34,7.14,
2019,Brad Stewart,Georgia Tech,WR,72.75,186,8.63,30.25,,4.66,10,35,119,4.2,7.03,
2019,DeAndre Thompkins,Penn State,WR,71.25,192,9.75,31.5,,4.34,13,34,126,4.26,7.02,
2019,Cody Thompson,Toledo,WR,73.5,205,9.38,31,,4.57,19,38.5,119,4.03,6.87,
2019,Trevion Thompson,Clemson,WR,74,197,9.25,32,,4.52,,36,122,4.32,6.82,
2019,Kavontae Turpin,Texas Christian,WR,68.88,158,7.75,29.625,,4.5,2,40,129,4.25,6.65,
2019,John Ursua,Hawaii,WR,69.13,178,9.25,29.875,,4.56,17,37,120,4.16,6.77,
2019,Jamarius Way,South Alabama,WR,75.5,215,10.25,33,,4.63,16,32.5,119,4.66,7.44,
2019,Moe Ways,California,WR,75.13,218,9.88,32,,4.63,18,35,117,4.39,7.28,
2019,Alex Wesley,Northern Colorado,WR,71.88,190,9,31.25,,4.45,13,38.5,125,4.44,7.4,
2019,Antoine Wesley,Texas Tech,WR,76.13,206,9.75,34,,4.68,6,37,117,4.26,7.07,
2019,Vic Wharton,California,WR,70.63,193,9.5,29.75,,4.65,11,29,106,4.38,7.26,
2019,Reggie White,Monmouth (NJ),WR,74,208,8.5,32.5,,4.52,10,37,120,4.07,6.81,
2019,Preston Williams,Colorado State,WR,76.25,211,9.13,33,,4.61,,31.5,116,4.35,7.11,
2019,Juwann Winfree,Colorado,WR,73.13,210,9.75,31.5,,4.53,16,33,125,4.25,6.97,
2018,Deontez Alexander,Franklin,WR,73.25,196,8.63,32,,4.35,15,37.5,130,4.08,6.91,
2018,Marcell Ateman,Oklahoma State,WR,76.5,216,9.88,32.88,,4.62,13,34,121,4.25,7.07,11.94
2018,Cameron Batson,Texas Tech,WR,68.25,175,9,28.875,,4.35,14,39,124,4,6.69,
2018,Braxton Berrios,Miami (FL),WR,68.63,184,9.25,28,,4.44,11,36,110,4.18,6.72,
2018,Saeed Blacknall,Penn State,WR,74,208,9.88,33.375,,4.37,24,32.5,127,4.19,6.77,
2018,Deontay Burnett,Southern California,WR,71.63,186,8.63,31.5,,,,,,,,
2018,Deon Cain,Clemson,WR,73.88,202,8.75,33,,4.43,11,33.5,115,4.37,6.71,11.78
2018,Antonio Callaway,Florida,WR,70.63,200,9.5,31.5,,4.41,7,34,121,4.33,7,
2018,Dylan Cantrell,Texas Tech,WR,74.88,226,9.25,31.38,,4.59,18,38.5,130,4.03,6.56,10.85
2018,Darren Carrington,Utah,WR,74.25,199,10.38,32.75,,4.78,9,36,120,4.51,6.96,
